id_victima_perfil;rango_etario;sexo_victima;rol_victima;modo_desplazamiento_victima
1;18-25;F;CICLISTA;BICICLETA
2;Menores de 18;F;CICLISTA;BICICLETA
3;26-35;F;CICLISTA;BICICLETA
4;36-45;F;CICLISTA;BICICLETA
5;46-60;F;CICLISTA;BICICLETA
6;Sin dato;F;CICLISTA;BICICLETA
7;Mayores de 60;F;CICLISTA;BICICLETA
8;26-35;F;CONDUCTOR;MOTO
9;Mayores de 60;F;CONDUCTOR;AUTO
10;46-60;F;CONDUCTOR;MOTO
11;18-25;F;CONDUCTOR;MOTO
12;36-45;F;CONDUCTOR;MOTO
13;18-25;F;conductor;MOTO
14;Mayores de 60;F;PASAJERO;AUTO
15;26-35;F;PASAJERO;MOTO
16;Sin dato;F;PASAJERO;MOTO
17;18-25;F;PASAJERO;MOTO
18;Mayores de 60;F;PASAJERO;TRANSPORTE PUBLICO
19;36-45;F;PASAJERO;AUTO
20;26-35;F;PASAJERO;AUTO
21;36-45;F;PASAJERO;MOTO
22;Menores de 18;F;PASAJERO;AUTO
23;46-60;F;PASAJERO;AUTO
24;46-60;F;PASAJERO;MOTO
25;36-45;F;PASAJERO;UTILITARIO
26;Mayores de 60;F;PEATON;PEATON
27;Menores de 18;F;PEATON;PEATON
28;36-45;F;PEATON;PEATON
29;26-35;F;PEATON;PEATON
30;46-60;F;PEATON;PEATON
31;Sin dato;F;PEATON;PEATON
32;18-25;F;PEATON;PEATON
33;Menores de 18;F;SD;SD
34;18-25;F;SD;SD
35;26-35;F;SD;SD
36;36-45;F;SD;SD
37;Mayores de 60;F;SD;SD
38;46-60;F;SD;SD
39;Sin dato;F;SD;SD
40;36-45;F;SD;AUTO
41;Sin dato;F;SD;AUTO
42;26-35;F;SD;TAXI
43;46-60;F;SD;AUTO
44;26-35;F;SD;AUTO
45;36-45;F;SD;MOTO
46;26-35;F;SD;TRANSPORTE PUBLICO
47;Menores de 18;F;SD;AUTO
48;26-35;F;SD;MOTO
49;Mayores de 60;F;SD;AUTO
50;Mayores de 60;F;SD;TAXI
51;46-60;F;SD;MOTO
52;18-25;F;SD;MOTO
53;Sin dato;F;SD;MOTO
54;Mayores de 60;F;SD;MOTO
55;18-25;F;SD;AUTO
56;18-25;F;SD;TRANSPORTE PUBLICO
57;36-45;F;SD;TRANSPORTE PUBLICO
58;46-60;F;SD;TRANSPORTE PUBLICO
59;36-45;F;SD;TAXI
60;Menores de 18;F;SD;MOTO
61;46-60;F;SD;UTILITARIO
62;Menores de 18;F;SD;UTILITARIO
63;26-35;F;SD;UTILITARIO
64;Mayores de 60;F;SD;TRANSPORTE PUBLICO
65;36-45;F;SD;UTILITARIO
66;26-35;F;SD;MOVIL
67;46-60;F;SD;TAXI
68;36-45;F;SD;MOVIL
69;Sin dato;F;SD;TAXI
70;Sin dato;F;SD;TRANSPORTE PUBLICO
71;Menores de 18;F;SD;TRANSPORTE PUBLICO
72;18-25;F;SD;TAXI
73;18-25;F;SD;UTILITARIO
74;Sin dato;F;SD;MONOPATIN
75;46-60;F;SD;MONOPATIN
76;36-45;F;SD;OTRO
77;Sin dato;F;SD;UTILITARIO
78;46-60;F;SD;CAMION
79;26-35;F;SD;CAMION
80;18-25;F;SD;MONOPATIN
81;26-35;F;SD;MONOPATIN
82;Mayores de 60;F;SD;MOVIL
83;Mayores de 60;F;SD;UTILITARIO
84;36-45;F;SD;MONOPATIN
85;Menores de 18;F;SD;OTRO
86;18-25;F;SD;MOVIL
87;Menores de 18;F;SD;TAXI
88;Mayores de 60;F;SD;CAMION
89;26-35;F;SD;moto
90;Sin dato;F;SD;moto
91;Sin dato;F;SD;auto
92;36-45;F;SD;moto
93;46-60;F;SD;moto
94;18-25;F;SD;moto
95;Sin dato;F;SD;MOVIL
96;36-45;F;SD;auto
97;Menores de 18;F;SD;auto
98;26-35;F;SD;auto
99;Sin dato;F;SD;monopatin
100;18-25;F;SD;auto
101;Sin dato;F;SD;CAMION
102;Mayores de 60;F;SD;MONOPATIN
103;46-60;F;SD;MOVIL
104;Menores de 18;F;SD;CAMION
105;36-45;F;SD;CAMION
106;18-25;F;SD;CAMION
107;Sin dato;F;SD;MIXTO
108;46-60;F;SD;MIXTO
109;Mayores de 60;F;SD;MIXTO
110;36-45;F;SD;MIXTO
111;26-35;F;SD;MIXTO
112;18-25;F;SD;MIXTO
113;46-60;F;SD;OTRO
114;Mayores de 60;F;SD;OTRO
115;26-35;F;SD;OTRO
116;Menores de 18;F;SD;MONOPATIN
117;18-25;F;CONDUCTOR;AUTO
118;36-45;F;Conductor;AUTO
119;26-35;F;Conductor;MOTO
120;Mayores de 60;F;Pasajero;AUTO
121;18-25;F;Pasajero;MOTO
122;Menores de 18;F;SD;MIXTO
123;26-35;M;CICLISTA;BICICLETA
