id_ubicacion;comuna;tipo_de_calle;direccion
1;Comuna 8;AUTOPISTA;
2;Comuna 12;AVENIDA;DE LOS CONSTITUYENTES AV. y HABANA
3;Comuna 11;;
4;Comuna 9;;
5;Comuna 4;;
6;Comuna 3;;
7;Comuna 14;;
8;Comuna 15;;
9;Comuna 1;;
10;Comuna 7;;
11;Comuna 8;;
12;Comuna 2;;
13;Comuna 4;AVENIDA;COLONIA AV. y USPALLATA
14;Comuna 13;;
15;Comuna 5;;
16;Comuna 6;;
17;Comuna 12;;
18;Comuna 10;;
19;;;
20;Comuna 3;AUTOPISTA;
21;Comuna 1;AVENIDA;IRIGOYEN, BERNARDO DE y SAN JUAN AV.
22;Comuna 14;AVENIDA;OBLIGADO RAFAEL, AV.COSTANERA 4600
23;Comuna 2;AVENIDA;CASTILLO, RAMON S., PRES. AV. y CALLE 12 (NO OFICIAL)
24;Comuna 7;AVENIDA;CASTAÃ‘ARES AV. y MORENO, PERITO AV.
25;Comuna 15;AVENIDA;ESTADO DE ISRAEL AV. y PRINGLES
26;Comuna 2;AVENIDA;SANTA FE AV. y RODRIGUEZ PE?A
27;;AV. GRAL. PAZ;PAZ, GRAL. AV. y ACHA, MARIANO, GRAL.
28;Comuna 1;AVENIDA;RAWSON DE DELLEPIANE, ELVIRA AV. 150
29;Comuna 4;AVENIDA;CHICLANA AV. y 24 DE NOVIEMBRE
30;;AVENIDA;DEL LIBERTADOR AV. 100
31;Comuna 13;CALLE;11 DE SEPTIEMBRE DE 1888 y RAMALLO
32;Comuna 15;AVENIDA;SAN MARTIN AV. y TERRADA
33;Comuna 9;AVENIDA;PERON, EVA AV. 5925
34;;CALLE;TRONADOR y GIRIBONE
35;;AVENIDA;PASEO COLON AV. y MEXICO
36;Comuna 7;CALLE;RECUERO, CASIMIRO, TTE. CNEL. y ARROTEA
37;Comuna 9;AVENIDA;PERON, EVA AV. y MEDINA
38;Comuna 13;AVENIDA;CRAMER AV. y JURAMENTO
39;Comuna 8;AVENIDA;ROCA, CNEL. AV. 5252
40;Comuna 4;CALLE;MUJICA, JOSE PIO 2388
41;;AUTOPISTA;
42;Comuna 1;AVENIDA;CORRIENTES AV. y ALEM, LEANDRO N. AV.
43;;AVENIDA;LACROZE, FEDERICO y CAMPOS, LUIS M. AV.
44;Comuna 11;CALLE;FERNANDEZ DE ENCISO y HABANA
45;Comuna 3;AVENIDA;PUEYRREDON AV. 139
46;Comuna 10;AVENIDA;JUSTO, JUAN B. AV. y ALVAREZ JONTE AV.
47;;CALLE;QUESADA y MILLER
48;Comuna 14;AVENIDA;OBLIGADO RAFAEL, AV.COSTANERA 4650
49;;CALLE;CASTILLO y CARRANZA, ANGEL JUSTINIANO
50;Comuna 14;AVENIDA;DORREGO AV. y DEL LIBERTADOR AV.
51;Comuna 5;CALLE;HUMAHUACA y SANCHEZ DE BUSTAMANTE
52;Comuna 5;CALLE;MITRE, BARTOLOME y YATAY
53;Comuna 7;AUTOPISTA;
54;Comuna 8;AUTOPISTA;AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y LARRAZABAL
55;Comuna 15;AVENIDA;ALVAREZ THOMAS AV. y FOREST AV.
56;Comuna 5;CALLE;LINIERS VIRREY y COCHABAMBA
57;Comuna 1;AVENIDA;RAWSON DE DELLEPIANE, ELVIRA AV. 400
58;;AVENIDA;DIAZ VELEZ AV. y PRINGLES
59;Comuna 8;AV. GRAL. PAZ;PAZ, GRAL. AV. 16080
60;Comuna 1;AVENIDA;INDEPENDENCIA AV. 1341
61;Comuna 1;AVENIDA;CHACABUCO y SAN JUAN AV.
62;;CALLE;MUÑIZ 568
63;Comuna 12;AV. GRAL. PAZ;SUPERI y PAZ, GRAL. AV.
64;;AVENIDA;CORREA y BALBIN, RICARDO, DR. AV.
65;Comuna 2;AVENIDA;QUINTANA, MANUEL, PRES. AV. y AYACUCHO
66;Comuna 14;AVENIDA;DEL LIBERTADOR AV. 4100
67;Comuna 9;AUTOPISTA;
68;;AV. GRAL. PAZ;PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.
69;Comuna 8;AVENIDA;27 DE FEBRERO AV. y ESCALADA AV.
70;Comuna 12;CALLE;ACHEGA y IBERA
71;;AVENIDA;GARAY, JUAN DE AV. 3400
72;Comuna 1;AVENIDA;9 DE JULIO AV. y JUNCAL
73;Comuna 4;AVENIDA;CASEROS AV. y LA RIOJA
74;Comuna 15;CALLE;LOYOLA y CARRANZA, ANGEL JUSTINIANO
75;Comuna 3;AVENIDA;INDEPENDENCIA AV. y SARANDI
76;Comuna 4;CALLE;LUJAN y VIEYTES
77;Comuna 1;AUTOPISTA;
78;Comuna 9;AV. GRAL. PAZ;PAZ, GRAL. AV. y ALBERDI, JUAN BAUTISTA AV.
79;Comuna 14;AVENIDA;SARMIENTO AV. y BERRO, ADOLFO AV.
80;Comuna 11;AVENIDA;JUSTO, JUAN B. AV. y ORO?O, NICASIO
81;Comuna 1;AVENIDA;9 DE JULIO AV. y ARROYO
82;;CALLE;TERRADA y DIAZ, CESAR, GRAL.
83;Comuna 15;AVENIDA;NEWBERY, JORGE AV. y MONTENEGRO
84;Comuna 8;AVENIDA;27 DE FEBRERO AV. y PERGAMINO
85;Comuna 14;AVENIDA;CORDOBA AV. y ACU?A DE FIGUEROA, FRANCISCO
86;Comuna 15;CALLE;VERA y SERRANO
87;Comuna 11;CALLE;NOGOYA y GONZALEZ, JOAQUIN V.
88;Comuna 1;CALLE;PARAGUAY y PELLEGRINI, CARLOS
89;Comuna 14;AVENIDA;CARRANZA, ANGEL JUSTINIANO y VEGA, NICETO, CNEL. AV.
