id_siniestro;id_tiempo;id_ubicacion;id_victima_perfil;cantidad_victimas;es_fallecido
LC-2019-0022650;2019011114;28;1;1;0
LC-2019-0068291;2019020115;42;2;1;0
LC-2019-0139186;2019030620;122;3;1;0
LC-2019-0247839;2019042117;12;3;1;0
LC-2019-0283677;2019050712;14;4;1;0
LC-2019-0299871;2019051409;17;5;1;0
HC-2019-0316148;2019052109;187;6;1;1
LC-2019-0332408;2019052810;18;4;1;0
LC-2019-0395977;2019062609;12;4;1;0
LC-2019-0433224;2019071316;6;5;1;0
LC-2019-0464558;2019072711;8;3;1;0
LC-2019-0557329;2019090515;7;6;1;0
LC-2019-0557329;2019090515;7;6;1;0
LC-2019-0585242;2019091608;12;4;1;0
HC-2019-0607122;2019092711;294;4;1;1
LC-2019-0766187;2019120321;8;3;1;0
LC-2020-0003360;2020010217;380;6;1;0
LC-2020-0004991;2020010312;410;3;1;0
LC-2020-0006530;2020010409;415;4;1;0
LC-2020-0014353;2020010717;475;4;1;0
LC-2020-0015351;2020010821;491;3;1;0
LC-2020-0016458;2020010815;492;7;1;0
LC-2020-0021881;2020011018;539;3;1;0
LC-2020-0021828;2020011019;526;3;1;0
LC-2020-0027260;2020011317;568;6;1;0
LC-2020-0036958;2020011719;661;3;1;0
LC-2020-0040501;2020012012;19;1;1;0
LC-2020-0044261;2020012114;729;3;1;0
LC-2020-0052154;2020012419;221;3;1;0
LC-2020-0049943;2020012422;799;4;1;0
LC-2020-0057129;2020012718;855;3;1;0
LC-2020-0056047;2020012712;865;4;1;0
LC-2020-0058549;2020012813;880;3;1;0
LC-2020-0059474;2020012819;883;3;1;0
LC-2020-0068444;2020020113;970;3;1;0
LC-2020-0070202;2020020221;982;6;1;0
LC-2020-0083974;2020020813;1112;3;1;0
LC-2020-0090656;2020021120;1163;4;1;0
LC-2020-0090691;2020021115;1183;4;1;0
LC-2020-0091137;2020021221;1218;1;1;0
LC-2020-0093173;2020021216;1215;3;1;0
LC-2020-0100319;2020021514;982;3;1;0
LC-2020-0101598;2020021611;1286;6;1;0
LC-2020-0107729;2020021812;1339;4;1;0
LC-2020-0111765;2020022009;1375;1;1;0
LC-2020-0112330;2020022008;1373;3;1;0
LC-2020-0112736;2020022016;1389;5;1;0
LC-2020-0117143;2020022216;1442;5;1;0
LC-2020-0122704;2020022612;1487;7;1;0
LC-2020-0125686;2020022711;1517;1;1;0
LC-2020-0127069;2020022720;1519;3;1;0
LC-2020-0127087;2020022718;1520;4;1;0
LC-2020-0130931;2020022912;1561;4;1;0
LC-2020-0132443;2020030113;1585;7;1;0
LC-2020-0134997;2020030216;1587;3;1;0
LC-2020-0135603;2020030221;1591;3;1;0
LC-2020-0133911;2020030210;1607;4;1;0
LC-2020-0137396;2020030313;1630;1;1;0
LC-2020-0138351;2020030318;1617;3;1;0
LC-2020-0140067;2020030411;1644;1;1;0
LC-2020-0142597;2020030509;1686;5;1;0
LC-2020-0148537;2020030717;1726;4;1;0
LC-2020-0149573;2020030813;1751;3;1;0
LC-2020-0152993;2020030919;1769;6;1;0
LC-2020-0154677;2020031011;1792;4;1;0
LC-2020-0160262;2020031213;982;4;1;0
LC-2020-0161786;2020031301;1859;3;1;0
LC-2020-0165454;2020031419;1877;3;1;0
LC-2020-0184129;2020033019;1974;4;1;0
LC-2020-0202779;2020041821;2063;5;1;0
LC-2020-0226109;2020050412;2158;1;1;0
LC-2020-0238744;2020051311;2233;6;1;0
LC-2020-0243248;2020051618;19;3;1;0
LC-2020-0246487;2020051818;2281;5;1;0
LC-2020-0248531;2020051916;2294;5;1;0
LC-2020-0250407;2020052018;2298;4;1;0
LC-2020-0253310;2020052111;2306;3;1;0
LC-2020-0255441;2020052310;2334;4;1;0
LC-2020-0255715;2020052312;2329;5;1;0
LC-2020-0259296;2020052616;2351;4;1;0
LC-2020-0259296;2020052616;2351;5;1;0
LC-2020-0272104;2020060119;2384;5;1;0
LC-2020-0289893;2020060912;2442;3;1;0
LC-2020-0291121;2020061010;1942;3;1;0
